epochs,baseline,train_10,train_20,train_40,train_60
1,0.536237359046936,0.07606539130210876,0.17717093229293823,0.36095625162124634,0.5111972093582153
2,0.631956934928894,0.1430596262216568,0.3398847281932831,0.5744118094444275,0.590758740901947
3,0.7311726212501526,0.2918832004070282,0.4541245400905609,0.6331852674484253,0.6355475783348083
4,0.7148256897926331,0.35670414566993713,0.5084569454193115,0.5979400873184204,0.6743834614753723
5,0.7163375020027161,0.43730512261390686,0.576490581035614,0.6348861455917358,0.7145422101020813
6,0.7750165462493896,0.42681658267974854,0.6034205555915833,0.6902579665184021,0.7198336720466614
7,0.7299442291259766,0.4920155107975006,0.5877350568771362,0.6846829652786255,0.6987621784210205
8,0.7531890869140625,0.5400170087814331,0.6380988359451294,0.7040536999702454,0.6855334043502808
9,0.7572522163391113,0.5600491166114807,0.655390739440918,0.7161485552787781,0.739487886428833
10,0.7465746998786926,0.5457809567451477,0.5913257002830505,0.7221959829330444,0.7524331212043762
11,0.7735991477966309,0.49881887435913086,0.6488708257675171,0.710006594657898,0.728054404258728
12,0.7738826274871826,0.5550410747528076,0.6837380528450012,0.6773126721382141,0.7530000805854797
13,0.7972219586372375,0.5368043184280396,0.6589813828468323,0.7162430286407471,0.7287158370018005
14,0.781158447265625,0.5788528919219971,0.6846829652786255,0.7293773293495178,0.7590475082397461
15,0.7838987112045288,0.5381271839141846,0.5973731279373169,0.7301332354545593,0.7419446110725403
16,0.7790796756744385,0.5121421217918396,0.6615326404571533,0.7155815958976746,0.7483700513839722
17,0.7858830094337463,0.531040370464325,0.6396107077598572,0.7204951047897339,0.7442123889923096
18,0.7970329523086548,0.6068222522735596,0.6835491061210632,0.7517716884613037,0.7604649066925049
19,0.8005291223526001,0.5502220392227173,0.6346971392631531,0.7646225094795227,0.7474251389503479
20,0.7973164319992065,0.6084285974502563,0.66975337266922,0.7230464220046997,0.7733156681060791
21,0.780969500541687,0.5512614846229553,0.6277992725372314,0.7114239931106567,0.7563073039054871
22,0.8054426908493042,0.5958613157272339,0.6505716443061829,0.7477086186408997,0.7763394117355347
23,0.7860720157623291,0.48747992515563965,0.6275158524513245,0.7412831783294678,0.7662288546562195
24,0.7856940627098083,0.5592932105064392,0.6750448942184448,0.7456297874450684,0.7696305513381958
25,0.7993952631950378,0.493527352809906,0.6631389856338501,0.7532835602760315,0.7601814270019531
26,0.7828593254089355,0.5757346749305725,0.6718322038650513,0.7341963648796082,0.7701975107192993
27,0.7867334485054016,0.572616457939148,0.6494377851486206,0.7618822455406189,0.7758669853210449
28,0.7793631553649902,0.5641122460365295,0.6758953332901001,0.7392044067382812,0.7774733304977417
29,0.7835207581520081,0.586884617805481,0.6167438626289368,0.751393735408783,0.7644335031509399
30,0.7877728343009949,0.5719550251960754,0.6880846619606018,0.7428895235061646,0.7430785298347473
